Yayınlandığı Tarih,Yayınlandığı Gün,Geçerli Olduğu Tarih,Geçerli Olduğu Gün,Kur,Döviz Alış,Döviz Satış
19.01.2018,Cuma,21.01.2018,Pazar,CNY,0.58691,0.59459
19.01.2018,Cuma,21.01.2018,Pazar,PKR,0.03392,0.03436
19.01.2018,Cuma,22.01.2018,Pazartesi,USD,3.7777,3.7845
19.01.2018,Cuma,22.01.2018,Pazartesi,AUD,3.0225,3.0422
19.01.2018,Cuma,22.01.2018,Pazartesi,DKK,0.6217,0.62476
19.01.2018,Cuma,22.01.2018,Pazartesi,EUR,4.6367,4.645
19.01.2018,Cuma,22.01.2018,Pazartesi,GBP,5.246,5.2733
19.01.2018,Cuma,22.01.2018,Pazartesi,CHF,3.9413,3.9666
19.01.2018,Cuma,22.01.2018,Pazartesi,SEK,0.4696,0.47446
19.01.2018,Cuma,22.01.2018,Pazartesi,CAD,3.0384,3.0521
19.01.2018,Cuma,22.01.2018,Pazartesi,KWD,12.5033,12.6669
